,Name,pfast,pslow,Return,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
152,SMACross,8,39,-0.0310,31.3677,38.0000,11.0000,27.0000,0.2895,487.5457,-212.8999,2.0000,6.0000,2.2900,371,378,557,178,371.0000
153,SMACross,8,40,-0.0569,32.8399,36.0000,10.0000,26.0000,0.2778,506.2366,-218.1530,2.0000,7.0000,2.3206,406,417,585,164,393.0000
154,SMACross,8,41,-0.0226,31.9660,34.0000,10.0000,24.0000,0.2941,525.6125,-231.6013,2.0000,7.0000,2.2695,354,393,537,193,369.2500
155,SMACross,8,42,0.0091,31.6840,33.0000,10.0000,23.0000,0.3030,581.2015,-252.1406,2.0000,6.0000,2.3051,296,386,491,172,336.2500
156,SMACross,8,43,0.0276,30.8556,33.0000,10.0000,23.0000,0.3030,586.9073,-246.6544,2.0000,6.0000,2.3795,259,365,491,127,310.5000
157,SMACross,8,44,0.0460,30.5072,32.0000,10.0000,22.0000,0.3125,586.4992,-249.3526,2.0000,6.0000,2.3521,227,352,443,141,290.7500
158,SMACross,8,45,0.0492,29.2121,31.0000,11.0000,20.0000,0.3548,525.4875,-268.5037,3.0000,6.0000,1.9571,217,325,231,358,282.7500
159,SMACross,8,46,-0.0115,33.7379,34.0000,10.0000,24.0000,0.2941,568.5820,-244.8873,3.0000,9.0000,2.3218,341,450,537,162,372.5000
160,SMACross,8,47,0.0439,29.0945,33.0000,11.0000,22.0000,0.3333,509.0249,-238.2593,3.0000,8.0000,2.1364,236,321,318,261,284.0000
161,SMACross,8,48,0.0451,29.2906,31.0000,10.0000,21.0000,0.3226,557.4322,-247.8208,3.0000,7.0000,2.2493,232,328,387,208,288.7500
162,SMACross,8,49,0.0100,30.0720,31.0000,10.0000,21.0000,0.3226,538.1582,-255.2536,3.0000,7.0000,2.1083,294,344,387,275,325.0000
